PING 88.80.187.84 (88.80.187.84) 1351(1379) bytes of data.
1359 bytes from 88.80.187.84: icmp_seq=1 ttl=46 time=75.1 ms
1359 bytes from 88.80.187.84: icmp_seq=2 ttl=46 time=94.1 ms
1359 bytes from 88.80.187.84: icmp_seq=3 ttl=46 time=73.0 ms
1359 bytes from 88.80.187.84: icmp_seq=4 ttl=46 time=111 ms
1359 bytes from 88.80.187.84: icmp_seq=5 ttl=46 time=72.8 ms
1359 bytes from 88.80.187.84: icmp_seq=6 ttl=46 time=107 ms
1359 bytes from 88.80.187.84: icmp_seq=7 ttl=46 time=73.1 ms
1359 bytes from 88.80.187.84: icmp_seq=8 ttl=46 time=109 ms
1359 bytes from 88.80.187.84: icmp_seq=9 ttl=46 time=71.3 ms
1359 bytes from 88.80.187.84: icmp_seq=10 ttl=46 time=107 ms
1359 bytes from 88.80.187.84: icmp_seq=11 ttl=46 time=68.4 ms
1359 bytes from 88.80.187.84: icmp_seq=12 ttl=46 time=103 ms
1359 bytes from 88.80.187.84: icmp_seq=13 ttl=46 time=65.9 ms
1359 bytes from 88.80.187.84: icmp_seq=14 ttl=46 time=98.5 ms
1359 bytes from 88.80.187.84: icmp_seq=15 ttl=46 time=142 ms
1359 bytes from 88.80.187.84: icmp_seq=16 ttl=46 time=102 ms
1359 bytes from 88.80.187.84: icmp_seq=17 ttl=46 time=73.9 ms
1359 bytes from 88.80.187.84: icmp_seq=18 ttl=46 time=98.9 ms
1359 bytes from 88.80.187.84: icmp_seq=19 ttl=46 time=138 ms
1359 bytes from 88.80.187.84: icmp_seq=20 ttl=46 time=97.7 ms
1359 bytes from 88.80.187.84: icmp_seq=21 ttl=46 time=60.0 ms
1359 bytes from 88.80.187.84: icmp_seq=22 ttl=46 time=96.3 ms
1359 bytes from 88.80.187.84: icmp_seq=23 ttl=46 time=74.6 ms
1359 bytes from 88.80.187.84: icmp_seq=24 ttl=46 time=65.7 ms
1359 bytes from 88.80.187.84: icmp_seq=25 ttl=46 time=131 ms
1359 bytes from 88.80.187.84: icmp_seq=26 ttl=46 time=91.2 ms
1359 bytes from 88.80.187.84: icmp_seq=27 ttl=46 time=66.3 ms
1359 bytes from 88.80.187.84: icmp_seq=28 ttl=46 time=79.2 ms
1359 bytes from 88.80.187.84: icmp_seq=29 ttl=46 time=145 ms
1359 bytes from 88.80.187.84: icmp_seq=30 ttl=46 time=90.2 ms
1359 bytes from 88.80.187.84: icmp_seq=31 ttl=46 time=78.8 ms
1359 bytes from 88.80.187.84: icmp_seq=32 ttl=46 time=78.7 ms
1359 bytes from 88.80.187.84: icmp_seq=33 ttl=46 time=127 ms
1359 bytes from 88.80.187.84: icmp_seq=34 ttl=46 time=56.4 ms
1359 bytes from 88.80.187.84: icmp_seq=35 ttl=46 time=126 ms
1359 bytes from 88.80.187.84: icmp_seq=36 ttl=46 time=84.6 ms
1359 bytes from 88.80.187.84: icmp_seq=37 ttl=46 time=74.2 ms
1359 bytes from 88.80.187.84: icmp_seq=38 ttl=46 time=68.7 ms
1359 bytes from 88.80.187.84: icmp_seq=39 ttl=46 time=82.1 ms
1359 bytes from 88.80.187.84: icmp_seq=40 ttl=46 time=72.8 ms
1359 bytes from 88.80.187.84: icmp_seq=41 ttl=46 time=122 ms
1359 bytes from 88.80.187.84: icmp_seq=42 ttl=46 time=80.7 ms
1359 bytes from 88.80.187.84: icmp_seq=43 ttl=46 time=70.1 ms
1359 bytes from 88.80.187.84: icmp_seq=44 ttl=46 time=74.2 ms
1359 bytes from 88.80.187.84: icmp_seq=45 ttl=46 time=119 ms
1359 bytes from 88.80.187.84: icmp_seq=46 ttl=46 time=79.4 ms
1359 bytes from 88.80.187.84: icmp_seq=47 ttl=46 time=119 ms
1359 bytes from 88.80.187.84: icmp_seq=48 ttl=46 time=79.1 ms
1359 bytes from 88.80.187.84: icmp_seq=49 ttl=46 time=118 ms
1359 bytes from 88.80.187.84: icmp_seq=50 ttl=46 time=79.2 ms

--- 88.80.187.84 ping statistics ---
50 packets transmitted, 50 received, 0% packet loss, time 49035ms
rtt min/avg/max/mdev = 56.370/91.444/145.194/23.034 ms
